date,close
2021.6.23,80100
2021.6.24,81200
2021.6.25,81600
2021.6.28,81900
2021.6.29,81000
2021.6.30,80700
2021.7.1,80100
2021.7.2,80000
2021.7.5,80400
2021.7.6,81200
2021.7.7,80800
2021.7.8,79900
2021.7.9,79400
2021.7.12,79700
2021.7.13,79800
2021.7.14,79500
2021.7.15,80600
2021.7.16,79800
2021.7.19,79000
2021.7.20,79000
2021.7.21,78500
2021.7.22,79700
2021.7.23,79300
2021.7.26,78800
2021.7.27,78500
2021.7.28,79200
2021.7.29,79000
2021.7.30,78500
2021.8.2,79300
2021.8.3,81400
2021.8.4,82900
2021.8.5,82100
2021.8.6,81500
2021.8.9,81500
2021.8.10,80200
2021.8.11,78500
2021.8.12,77000
2021.8.13,74400
2021.8.17,74200
2021.8.18,73900
2021.8.19,73100
2021.8.20,72700
2021.8.23,73300
2021.8.24,75600
2021.8.25,75700
2021.8.26,74600
2021.8.27,74300
2021.8.30,74600
2021.8.31,76700
2021.9.1,76800
2021.9.2,76000
2021.9.3,76600
2021.9.6,77300
2021.9.7,76100
2021.9.8,76300
2021.9.9,75300
2021.9.10,75300
2021.9.13,76300
2021.9.14,76600
2021.9.15,77000
2021.9.16,76100
2021.9.17,77200
2021.9.23,77400
2021.9.24,77300
2021.9.27,77700
2021.9.28,76300
2021.9.29,74100
2021.9.30,74100
2021.10.1,73200
2021.10.5,72200
2021.10.6,71300
2021.10.7,71600
2021.10.8,71500
2021.10.12,69000
2021.10.13,68800
2021.10.14,69400
2021.10.15,70100
2021.10.18,70200
2021.10.19,70600
2021.10.20,70300
2021.10.21,70200
2021.10.22,70400
2021.10.25,70200
2021.10.26,71100
2021.10.27,70100
2021.10.28,70700
2021.10.29,69800
2021.11.1,69900
2021.11.2,71500
2021.11.3,70400
2021.11.4,70600
2021.11.5,70200
2021.11.8,70600
2021.11.9,70500
2021.11.10,70200
2021.11.11,69900
2021.11.12,70600
2021.11.15,71400
2021.11.16,71300
2021.11.17,70700
