"ym","sales"
2019-07-01,97.8
2019-08-01,98.5
2019-09-01,112.3
2019-10-01,116.8
2019-11-01,128.4
2019-12-01,125.4
2020-01-01,111.6
2020-02-01,79
2020-03-01,74.3
2020-04-01,90
2020-05-01,108.3
2020-06-01,101.2
2020-07-01,93.9
2020-08-01,91.5
2020-09-01,105.8
2020-10-01,118
2020-11-01,120.3
2020-12-01,106.2
2021-01-01,105
2021-02-01,106.7
2021-03-01,120.6
2021-04-01,119.2
2021-05-01,128.9
2021-06-01,115.7
2021-07-01,105.3
2021-08-01,105.9
2021-09-01,129.7
2021-10-01,145.7
2021-11-01,149.1
2021-12-01,142.7
2022-01-01,139.5
2022-02-01,115.3
2022-03-01,133
2022-04-01,140.1
2022-05-01,150.9
2022-06-01,132.1
2022-07-01,132.9
2022-08-01,126
2022-09-01,137.7
2022-10-01,150.9
2022-11-01,143.2
2022-12-01,151.4
2023-01-01,134
2023-02-01,130.8
2023-03-01,147
2023-04-01,152.8
2023-05-01,163.9
2023-06-01,139.8
2023-07-01,142.1
2023-08-01,129.9
2023-09-01,145.6
2023-10-01,155.4
2023-11-01,160.5
2023-12-01,170.5
2024-01-01,142.5
2024-02-01,138.8
2024-03-01,156.4
2024-04-01,145.7
2024-05-01,155.5
2024-06-01,142.5
2024-07-01,136
2024-08-01,131
2024-09-01,146.3
2024-10-01,151.3
2024-11-01,162.1
2024-12-01,169.7
2025-01-01,153.1
2025-02-01,132.5
2025-03-01,152.1
2025-04-01,138.4
2025-05-01,156.5
2025-06-01,141
2025-07-01,137.6
